word,examples,word_audio,word_search
ab,"['Die Fahrt kostet ab Hamburg 200 Euro.', 'Ab nächster Woche bleibt unser Geschäft samstags geschlossen.', 'Mein Bruder besucht uns ab und zu.']",ab,ab
"abbiegen, biegt ab, bog ab, ist abgebogen",['An der nächsten Kreuzung müssen Sie links abbiegen.'],abbiegen,abbiegen
"die Abbildung, -en","['Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.']",die Abbildung,Abbildung
"das Abenteuer, -","['Unser Urlaub war ein tolles Abenteuer.', 'Die Kinder lieben Abenteuergeschichten.']",das Abenteuer,Abenteuer
aber,"['Heute kann ich nicht, aber morgen ganz bestimmt.', 'Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.', 'Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.', 'Es war sehr schön. Jetzt muss ich aber gehen.', 'Ich würde gerne kommen, aber es geht leider nicht.', 'Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern.', 'Du spielst aber gut Klavier.']",aber,aber
"abfahren, fährt ab, fuhr ab, ist abgefahren",['Unser Zug ist pünktlich abgefahren.'],abfahren,abfahren
"die Abfahrt, -en",['Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.'],die Abfahrt,Abfahrt
"der Abfall, ¨-e",['Werfen Sie den Bioabfall bitte nicht zum normalen Müll.'],der Abfall,Abfall
"der Abfalleimer, -",['Wirf das bitte in den Abfalleimer!'],der Abfalleimer,Abfalleimer
Abgase (Pl.),['Abgase aus Industrie und Haushalten verschmutzen die Luft.'],Abgase,Abgase
"abgeben, gibt ab, gab ab, hat abgegeben",['Ich soll dieses Päckchen bei Herrn Müller abgeben.'],abgeben,abgeben
"(von jdm,etw) abhängen, hängt ab, hing ab, hat abgehangen","['Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.']","(von jdm,etw) abhängen, hängt ab, hing ab, hat abgehangen",(von jdm
abhängig,['Gregor ist finanziell von seinen Eltern abhängig.'],abhängig,abhängig
"abheben, hebt ab, hob ab, hat abgehoben",['Für die Reise habe ich 500 Euro von meinem Konto abgehoben.'],abheben,abheben
"abholen, holt ab, holte ab, hat abgeholt",['Meine Freundin hat mich vom Bahnhof abgeholt.'],abholen,abholen
"abschreiben, schreibt ab, schrieb ab, hat abgeschrieben",['Er hat die Hausaufgaben von mir abgeschrieben.'],abschreiben,abschreiben
"das Abitur (D)→A, CH: Matura",['Meine Tochter hat gerade Abitur gemacht.'],das Abitur,Abitur
"ablehnen, lehnt ab, lehnte ab, hat abgelehnt","['Er hat mein Angebot, ihm zu helfen, abgelehnt.']",ablehnen,ablehnen
"abmachen, macht ab, machte ab, hat abgemacht","['Wir hatten doch abgemacht, dass du die Getränke besorgst.']",abmachen,abmachen
"abnehmen, nimmt ab, nahm ab, hat abgenommen","['Morgen können wir den Verband abnehmen.', 'Ich habe zehn Kilo abgenommen.']",abnehmen,abnehmen
"abonnieren, abonniert, abonnierte, hat abonniert",['Diese Zeitschrift würde ich gerne abonnieren.'],abonnieren,abonnieren
"das Abonnement, -s/-e",['Ich habe das Abonnement gekündigt.'],das Abonnement,Abonnement
"absagen, sagt ab, sagte ab, hat abgesagt","['Ich muss unser Treffen leider absagen, weil ich krank geworden bin.']",absagen,absagen
"der Abschluss, ¨-e",['Ein guter Schulabschluss ist sehr wichtig.'],der Abschluss,Abschluss
"der Abschnitt, -e",['Lesen Sie bitte den zweiten Abschnitt.'],der Abschnitt,Abschnitt
"der Absender, die Absenderin, -nen",['Schicken Sie das Paket an den Absender zurück.'],"der Absender, die Absenderin",Absender
"die Absicht, -en","['Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.', 'Hast du die Absicht zu studieren?']",die Absicht,Absicht
absolut,"['Was Sie da sagen, ist absolut falsch.', 'Ich habe absolutes Vertrauen zu dir.']",absolut,absolut
"(über etw) abstimmen, stimmt ab, stimmte ab, hat abgestimmt",['Lasst uns über diesen Punkt abstimmen.'],(über etw) abstimmen,(über etw) abstimmen
"die Abteilung, -en",['Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.'],die Abteilung,Abteilung
