word,examples,word_audio,word_search,word_translation,example_translation
ab,"['Die Fahrt kostet ab Hamburg 200 Euro.', 'Ab nächster Woche bleibt unser Geschäft samstags geschlossen.', 'Mein Bruder besucht uns ab und zu.']",ab,ab,['от'],"['Пътуването от Хамбург струва 200 евро.', 'От следващата седмица магазинът ни ще бъде затворен в събота.', 'Брат ми ни посещава от време на време.']"
"abbiegen, biegt ab, bog ab, ist abgebogen",['An der nächsten Kreuzung müssen Sie links abbiegen.'],abbiegen,abbiegen,['изключване'],['На следващото кръстовище завийте наляво.']
"die Abbildung, -en","['Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.']",die Abbildung,Abbildung,['Илюстрация'],['Илюстрацията показва как да включите устройството.']
"das Abenteuer, -","['Unser Urlaub war ein tolles Abenteuer.', 'Die Kinder lieben Abenteuergeschichten.']",das Abenteuer,Abenteuer,['Приключение'],"['Почивката ни беше страхотно приключение.', 'Децата обичат приключенски истории.']"
aber,"['Heute kann ich nicht, aber morgen ganz bestimmt.', 'Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.', 'Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.', 'Es war sehr schön. Jetzt muss ich aber gehen.', 'Ich würde gerne kommen, aber es geht leider nicht.', 'Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern.', 'Du spielst aber gut Klavier.']",aber,aber,['но'],"['Днес не мога, но утре със сигурност мога.', 'Имаше много сняг, но Енцо все пак караше мотора си.', 'Имаме само малък апартамент, но сме доволни от него.', 'Беше много приятно. Но сега трябва да си тръгна.', 'С удоволствие бих дошъл, но за съжаление не мога.', 'Мога ли да ви купя кафе? - Но да, с удоволствие бих го направила.', 'Но вие свирите добре на пиано.']"
"abfahren, fährt ab, fuhr ab, ist abgefahren",['Unser Zug ist pünktlich abgefahren.'],abfahren,abfahren,['отпътуване'],['Влакът ни тръгна навреме.']
"die Abfahrt, -en",['Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.'],die Abfahrt,Abfahrt,['Отпътуване'],['Остават ни още двайсет минути до отпътуването.']
"der Abfall, ¨-e",['Werfen Sie den Bioabfall bitte nicht zum normalen Müll.'],der Abfall,Abfall,['Отпадъци'],"['Моля, не изхвърляйте органични отпадъци заедно с обикновените си отпадъци.']"
"der Abfalleimer, -",['Wirf das bitte in den Abfalleimer!'],der Abfalleimer,Abfalleimer,['Кошница за отпадъци'],"['Моля, изхвърлете това в кошчето за боклук!']"
Abgase (Pl.),['Abgase aus Industrie und Haushalten verschmutzen die Luft.'],Abgase,Abgase,['Отпадъчни газове'],['Отпадъчните газове от промишлеността и домакинствата замърсяват въздуха.']
"abgeben, gibt ab, gab ab, hat abgegeben",['Ich soll dieses Päckchen bei Herrn Müller abgeben.'],abgeben,abgeben,['да достави'],['Трябва да предам тази пратка на г-н Мюлер.']
"abhängen, hängt ab, hing ab, hat abgehangen (von)","['Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.']",abhängen,abhängen,['да се обадите'],"['Може би ще останем няколко дни повече, в зависимост от времето.']"
abhängig,['Gregor ist finanziell von seinen Eltern abhängig.'],abhängig,abhängig,['зависим'],['Грегор е финансово зависим от родителите си.']
"abheben, hebt ab, hob ab, hat abgehoben",['Für die Reise habe ich 500 Euro von meinem Konto abgehoben.'],abheben,abheben,['излитане'],['Изтеглих 500 евро от сметката си за пътуването.']
"abholen, holt ab, holte ab, hat abgeholt",['Meine Freundin hat mich vom Bahnhof abgeholt.'],abholen,abholen,['вдигане'],['Приятелката ми ме взе от гарата.']
"abschreiben, schreibt ab, schrieb ab, hat abgeschrieben",['Er hat die Hausaufgaben von mir abgeschrieben.'],abschreiben,abschreiben,['отписване'],['Той преписа домашното от мен.']
"das Abitur (D)→A, CH: Matura",['Meine Tochter hat gerade Abitur gemacht.'],das Abitur,Abitur,['Нива A'],['Дъщеря ми току-що завърши училище.']
"ablehnen, lehnt ab, lehnte ab, hat abgelehnt","['Er hat mein Angebot, ihm zu helfen, abgelehnt.']",ablehnen,ablehnen,['отхвърляне на'],['Той отхвърли предложението ми да му помогна.']
"abmachen, macht ab, machte ab, hat abgemacht","['Wir hatten doch abgemacht, dass du die Getränke besorgst.']",abmachen,abmachen,['ясно'],"['Договорихме се, че ти ще вземеш напитките.']"
"abnehmen, nimmt ab, nahm ab, hat abgenommen","['Morgen können wir den Verband abnehmen.', 'Ich habe zehn Kilo abgenommen.']",abnehmen,abnehmen,['намаляване на теглото'],"['Утре можем да махнем превръзката.', 'Отслабнах с десет килограма.']"
"abonnieren, abonniert, abonnierte, hat abonniert",['Diese Zeitschrift würde ich gerne abonnieren.'],abonnieren,abonnieren,['абонирайте се за'],['Искам да се абонирам за това списание.']
"das Abonnement, -s/-e",['Ich habe das Abonnement gekündigt.'],das Abonnement,Abonnement,['Абонамент'],['Прекратих абонамента си.']
"absagen, sagt ab, sagte ab, hat abgesagt","['Ich muss unser Treffen leider absagen, weil ich krank geworden bin.']",absagen,absagen,['отмяна на'],"['За съжаление трябва да отменя срещата ни, защото се разболях.']"
"der Abschluss, ¨-e",['Ein guter Schulabschluss ist sehr wichtig.'],der Abschluss,Abschluss,['Заключение'],['Доброто свидетелство за завършено образование е много важно.']
"der Abschnitt, -e",['Lesen Sie bitte den zweiten Abschnitt.'],der Abschnitt,Abschnitt,['Раздел'],"['Моля, прочетете втория раздел.']"
"der Absender, die Absenderin, -nen",['Schicken Sie das Paket an den Absender zurück.'],"der Absender, die Absenderin",Absender,['Подател'],['Върнете пратката на подателя.']
"die Absicht, -en","['Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.', 'Hast du die Absicht zu studieren?']",die Absicht,Absicht,['Намерение'],"['Извинете ме, моля. Дъщеря ми не го е направила нарочно.', 'Възнамерявате ли да учите?']"
absolut,"['Was Sie da sagen, ist absolut falsch.', 'Ich habe absolutes Vertrauen zu dir.']",absolut,absolut,['абсолютен'],"['Това, което казвате, е абсолютно погрешно.', 'Имам пълно доверие във вас.']"
"abstimmen, stimmt ab, stimmte ab, hat abgestimmt",['Lasst uns über diesen Punkt abstimmen.'],abstimmen,abstimmen,['гласувайте на'],['Нека да гласуваме по тази точка.']
"die Abteilung, -en",['Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.'],die Abteilung,Abteilung,['Отдел'],['Приятелката ми работи в отдела на г-жа Кауфман.']
"der Abwart, -e die Abwartin, -nen (CH) → D, A: Hausmeister","['Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.']","der Abwart, die Abwartin",Abwart,['Пазач'],['Пазачът ми помогна да пренеса шкафа в апартамента.']
abwärts,['Von dort führt der Weg abwärts ins Tal.'],abwärts,abwärts,['надолу'],['Оттам пътеката води надолу в долината.']
"abwaschen, wäscht ab, wusch ab, hat abgewaschen",['Ich muss noch das Geschirr abwaschen.'],abwaschen,abwaschen,['отмиване'],['Все още трябва да мия чиниите.']
abwesend,['Herr Huber ist bis zum 25. April abwesend.'],abwesend,abwesend,['отсъства'],['Г-н Huber ще отсъства до 25 април.']
"achten, achtet, achtete, hat geachtet (auf)","['Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen.']",achten,achten,['обръщайте внимание'],"['Моля, уверете се, че заключвате, когато си тръгвате.']"
Achtung!,"['Achtung, hier endet die Straße!']",Achtung!,Achtung!,['Внимание!'],"['Внимание, пътят свършва тук!']"
"die Adresse, -n",['Hast du schon meine neue Adresse?'],die Adresse,Adresse,['Адрес'],['Получихте ли вече новия ми адрес?']
